qid,question,gold_doc_id,ideal_answer,gold_evidence_text,gold_evidence_char_start,gold_evidence_char_end,topic
q_20b96dfa02,"Как формулировать последствия недействительного перехода, если возврат должен идти уже в СФР?",d_f8787907b3,"Фонд обязан передать средства пенсионных накоплений в Фонд пенсионного и социального страхования РФ, отдельно передать проценты за неправомерное пользование накоплениями и средства, сформированные за счет дохода от инвестирования. Также можно заявлять запрет обработки и хранения персональных данных.","у центру на выпуск электронной подписи для подписания таких заявлений не подавала. ФИО1 согласия на обработку своих персональных данных ответчику не давала, следовательно, действия АО «НПФ «БУДУЩЕЕ» по хранению и использованию ее персональных данных являются незаконными. Истец просит: Признать договор обязательного пенсионного страхования, заключенный между ФИО1 , **/**/**** г.р. и АО «НПФ «БУДУЩЕЕ» недействительным. Обязать АО «НПФ «БУДУЩЕЕ» в срок не позднее 30 дней со дня вступления решения суда в законную силу передать в Фонд пенсионного и социального страхования РФ средства пенсионных накоплений ФИО3 в сумме 161831,05 руб., проценты за неправомерное пользование средствами накоплений ФИО3 за период с **/**/**** в составе пенсионных накоплений в размере 60408,19 рублей, после обращения в суд – за каждый по день вынесения судебного решения. Обязать АО «Негосударственный пенсионный фонд «Будущее» в срок не позднее 30 дней со дня вступления решения суда в законную силу передать в Фонд пенсионного и социального страхования РФ средства, направленные на формирование собственных средств фонда, сформированные за счет дохода от инвестирования средств пенсионных накоплений застрахованного лица ФИО1 в размере 3879,54 рублей. Запретить обработку и хранение персональных данных ФИО1 , **/**/**** г.р. В ходе судебного разбирательства дела процессуальный истец помощник ФИО4 заявленные требования поддержал по доводам, изложенным в иске. Материальный истец ФИО1 не явилась, о времени и месте судебного заседания извещена надлежащим образом. Представитель ответчика АО «НПФ «Будущее» в судебное заседание не явился, о времени и месте судебного заседания извещен надлежащим образом, согласно представленным письменным возражениям просил отказать в удовлетворении заявленных требований истца в полном",2026,3832,инвестиционный доход и денежные расчеты
q_20faad7560,Нужна практика для возражения о пропуске срока исковой давности по оспариванию договора ОПС: когда суд может отказать без исследования всех обстоятельств спора?,d_3d8e1ad86f,"Суд указал на п. 2 ст. 199 ГК РФ и п. 15 Постановления Пленума ВС РФ N 43. Если сторона заявила о давности, срок пропущен и уважительных причин нет, это является самостоятельным основанием для отказа, без исследования иных обстоятельств дела. В документе также важно, что суд связал начало знания о нарушении с получением информации в фонде.","овора об обязательном пенсионном страховании была направлена истцу 06 июня 2017 года (л.д.27, 30).
Также копию договора №[СНИЛС] об обязательном пенсионном страховании истец получила лично в Фонде 23 июня 2017 года.
Между тем, в Мещанский районный суд истец обратилась лишь в ноябре 2022 года, то есть по истечении срока исковой давности, при этом каких-либо доказательств уважительности причин пропуска срока исковой давности истец не указала, а судом установлены не были.
В соответствии с п. 2 ст. 199 ГК РФ истечение срока исковой давности о применении которой заявлено стороной в споре, является основанием к вынесению судом решения об отказе в иске.
Согласно п. 15. Постановления Пленума Верховного Суда РФ от 29.09.2015 г. N 43 (в ред. от 22.06.2021 г.) ""О некоторых вопросах, связанных с применением норм Гражданского кодекса Российской Федерации об исковой давности"" истечение срока исковой давности является самостоятельным основанием для отказа в иске (абзац второй пункта 2 статьи 199 ГК РФ). Если будет установлено, что сторона по делу пропустила срок исковой давности и не имеется уважительных причин для восстановления этого срока для истца - физического лица, то при наличии заявления надлежащего лица об истечении срока исковой давности суд вправе отказать в удовлетворении требования только по этим мотивам, без исследования иных обстоятельств дела.
При таких обстоятельствах, суд приходит к выводу об отказе в удовлетворении исковых требований о признании договора об обязательном пенсионном страховании незаключенным и применении последствий незаключённой договора.
На основании изложенного, руководствуясь ст.ст. 194-198 ГПК РФ суд,
Р Е Ш И Л:
В удовлетворении иска ФИО к адрес «БУДУЩЕЕ» о признании договора об обязательном пенсионном страховании незаключенным и применении последствий",2344,4150,процессуальные сроки / исковая давность
q_20fca321a6,Суд признал отказ фонда незаконным. Обяжет ли он сам фонд назначить выплату?,d_0216234592,"Апелляция признала незаконным решение фонда об отказе в назначении накопительной пенсии и обязала фонд назначить накопительную пенсию с даты обращения. Также были взысканы расходы по госпошлине и юридическим услугам, а в остальной части требований отказано. Это пример для просительной части и оценки сопутствующих требований.","ст. ст. 328 , 329 Гражданского процессуального кодекса Российской Федерации, судебная коллегия

ОПРЕДЕЛИЛА:
решение Мещанского районного суда города Москвы от 17 сентября 2024 года отменить.
Принять по делу новое решение.
Исковые требования ФИО к АО «Негосударственный пенсионный фонд «БУДУЩЕЕ» о признании незаконным решения, обязании назначить накопительную пенсию, взыскании процентов за пользование чужими денежными средствами, судебных расходов, удовлетворить частично.
Признать незаконным решение АО «Негосударственный пенсионный фонд «Будущее» от 13 октября 2023 г. №2023-18-003325 об отказе в назначении накопительной пенсии ФИО.
Обязать АО «Негосударственный пенсионный фонд «Будущее» назначить накопительную пенсию ФИО с 26 июня 2023 г.
Взыскать с АО «Негосударственный пенсионный фонд «Будущее» в пользу ФИО расходы по оплате госпошлины в размере сумма и расходы по оплате юридических услуг в размере сумма
В удовлетворении остальной части исковых требований отказать.
Мотивированное апелляционное определение составлено 17 сентября 2025года.",15988,17041,назначение и выплата пенсионных накоплений
q_2132ab0135,"Какой пример использовать, если нужно показать, что отказ фонда в назначении накопительной пенсии может быть признан незаконным с возложением обязанности назначить выплату?",d_0216234592,"Апелляция признала незаконным решение фонда об отказе в назначении накопительной пенсии и обязала фонд назначить накопительную пенсию с даты обращения. Также были взысканы расходы по госпошлине и юридическим услугам, а в остальной части требований отказано. Это пример для просительной части и оценки сопутствующих требований.","ст. ст. 328 , 329 Гражданского процессуального кодекса Российской Федерации, судебная коллегия

ОПРЕДЕЛИЛА:
решение Мещанского районного суда города Москвы от 17 сентября 2024 года отменить.
Принять по делу новое решение.
Исковые требования ФИО к АО «Негосударственный пенсионный фонд «БУДУЩЕЕ» о признании незаконным решения, обязании назначить накопительную пенсию, взыскании процентов за пользование чужими денежными средствами, судебных расходов, удовлетворить частично.
Признать незаконным решение АО «Негосударственный пенсионный фонд «Будущее» от 13 октября 2023 г. №2023-18-003325 об отказе в назначении накопительной пенсии ФИО.
Обязать АО «Негосударственный пенсионный фонд «Будущее» назначить накопительную пенсию ФИО с 26 июня 2023 г.
Взыскать с АО «Негосударственный пенсионный фонд «Будущее» в пользу ФИО расходы по оплате госпошлины в размере сумма и расходы по оплате юридических услуг в размере сумма
В удовлетворении остальной части исковых требований отказать.
Мотивированное апелляционное определение составлено 17 сентября 2025года.",15988,17041,назначение и выплата пенсионных накоплений
q_21378340fa,"Что произойдет со вторым иском правопреемника, если такой же спор о сроке выплаты накоплений уже находится в производстве?",d_e418fd6561,"Отличие от ситуации с уже разрешенным спором: здесь важно, что аналогичные требования уже рассматриваются. Если второй иск тождественен первому по сторонам, предмету и основаниям, его возвращают по ст. 135 ГПК РФ, чтобы не вести параллельные одинаковые процессы.",".
В соответствии с пунктом 5 частью 1 статьи 135 ГПК РФ суд возвращает заявление в случае, если в производстве этого или другого суда либо третейского суда имеется дело по спору между теми же сторонами, о том же предмете и по тем же основаниям.
Как усматривается из материалов дела и установлено судом, в производстве Мещанского районного суда адрес находится в производстве аналогичный иск ФИО к адрес "" Будущее"" о восстановлении срока для обращения с заявлением о выплате средств пенсионных накоплений умершего застрахованного лица.
Таким образом, суд приходит к выводу, что в данном исковом заявлении истец фактически ставит на рассмотрение те же вопросы, которые являются предметом рассмотрения в Мещанском районном суде адрес, данные иски тождественны и заявлены по спору между теми же сторонами, о том же предмете и по тем же основаниям.
На основании изложенного и руководствуясь статьей 135 ГПК РФ, суд

ОПРЕДЕЛИЛ:
Возвратить исковое заявление ФИО к адрес "" Будущее"" о восстановлении срока для обращения с заявлением о выплате средств пенсионных накоплений умершего застрахованного лица.
Определение может быть обжаловано в Московский городской суд через Мещанский районный суд адрес в течение 15 дней.",1442,2651,процессуальные определения по движению иска
q_21b4181963,"Платить ли госпошлину за иск о накоплениях, если истец действует в интересах несовершеннолетнего?",d_d0b30d09b3,"По делам о защите прав и интересов ребёнка госпошлина не взимается (пп. 15 п. 1 ст. 333.36 НК, ч. 2 ст. 23 ФЗ-124), без разграничения по видам исков. Полезно законному представителю при подаче иска и при обжаловании возврата за неуплату пошлины.",при рассмотрении в судах дел о защите прав и законных интересов ребенка государственная пошлина не взимается,7280,7388,судебные расходы
q_2211e6c2c0,Фонд пропустил заседание и получил заочное решение. Какие сроки и порядок его отмены?,d_168537aacb,"Ответчик подаёт заявление об отмене заочного решения в суд, его принявший, в течение семи дней со дня вручения копии решения; далее возможно обжалование в общем порядке. Полезно фонду при пропуске заседания и заочном решении.","Ответчик вправе подать в суд, принявший заочное решение, заявление об отмене этого решения суда в течение семи дней со дня вручения ему копии этого решения.",15411,15567,процессуальные определения по движению иска
q_2238a2df5b,Фонд не может рассчитать пенсию без данных СФР. Какое требование адресовать самому СФР?,d_c08928b4cc,"Нужно добиваться передачи фонду актуальных данных о соблюдении условий для назначения накопительной пенсии и о размере назначенной или предполагаемой страховой пенсии по старости. После поступления этих сведений фонд должен назначить накопительную пенсию либо, если расчет окажется ниже 5%, единовременную выплату.","нании права на назначение единовременной выплаты средств пенсионных накоплений с момента первоначального обращения,
руководствуясь ст. 193, 199 ГПК РФ, суд
Исковые требования ФИО о признании права на назначение единовременной выплаты средств пенсионных накоплений и назначении с момента первоначального обращения - удовлетворить частично.
Обязать Фонд пенсионного и социального страхования РФ предоставить адрес «БУДУЩЕЕ» по системе межведомственного электронного взаимодействия актуальные данные о соблюдении условий для назначения накопительной пенсии в отношении ФИО, а также размере назначенной (предполагаемой) страховой пенсии по старости на дату 15.11.2022.
Обязать адрес «БУДУЩЕЕ», после предоставления Фондом пенсионного и социального страхования РФ по каналам межведомственного электронного взаимодействия информации о наличии условий для назначения накопительной пенсии и размере страховой пенсии по старости в отношении ФИО, назначить накопительную пенсию, а в случае соответствия расчета (менее 5%), установленного законодательством, назначить ФИО единовременную выплату.
В удовлетворении остальной части иска - отказать.
Решение может быть обжаловано в Московский",333,1510,назначение и выплата пенсионных накоплений
q_226945debf,"Клиент хочет оспорить отказ фонда в единовременной выплате накоплений. Достаточно ли заявить, что решение незаконно, без собственного контррасчёта?",d_8a5468809e,"Нет, суд отказал истице, отметив, что доводы о незаконности отказа не мотивированы и контррасчёт единовременной выплаты не представлен. Для оспаривания отказа фонда нужны конкретные мотивы и собственный расчёт.","решение ответчика об отказе в единовременной выплате незаконным, при этом свои доводы никак не мотивирует, свой контррасчет единовременной выплаты не предоставляет, в чем заключается нарушение закона со стороны ответчика, по её мнению, истица не указывает.
Как указано в подп. 2 п. 1 ст. 4 Федерального закона от 30 ноября 2011 года № 360-ФЗ «О порядке финансирования выплат за счет средств пенсионных накоплений» и п. 2.",6711,7132,назначение и выплата пенсионных накоплений
q_2279ea96d4,Фонд не раскрывает данные для расчёта инвестдохода. Какими официальными показателями посчитать?,d_48fa1cfb1b,"Для расчета можно опираться на основные показатели деятельности негосударственных пенсионных фондов, размещенные на официальном сайте Банка России. В документе по ним определялась доходность инвестирования средств пенсионных накоплений фонда за соответствующие периоды.","Пенсионный фонд Российской Федерации средства сформированные за счёт дохода от инвестирования средств пенсионных накоплений соответствующего застрахованного лица за период с 1 января 2019 г. по 30 сентября 2019 г. в размере 7 678 рублей 07 копеек, суд первой инстанции руководствовался положениями пункта 5.3 статьи 36.6 Федерального закона от 7 мая 1998 г. № 75-ФЗ «О негосударственных пенсионных фондах». Определяя размер дохода от инвестирования средств пенсионных накоплений, суд первой инстанции принял во внимание основные показатели деятельности негосударственных пенсионных фондов за 12 месяцев 2018 г., размещённые на официальном сайте Банка России, согласно которым доходность инвестирования средств пенсионных накоплений АО «НПФ «Будущее» составила – 14,23%, за 9 месяцев 2019 г. – 7,07%. Проверяя законность и обоснованность принятого по делу решения, суд апелляционной инстанции, установив, что выводы суда, изложенные в обжалуемом решении, соответствуют обстоятельствам дела, установленным судом по результатам исследования и оценки представленных сторонами доказательств в соответствии с правилами статьи 67 ГПК РФ, нормы материального права, регулирующие спорные правоотношения, применены правильно, согласился с принятым по делу решением. Выводы судебных инстанций являются правильными, соответствуют требованиям закона, сомнений у",14805,16153,инвестиционный доход и денежные расчеты
q_22b4dfa995,Из чего фонд складывает сумму регрессных убытков к консультанту после проигрыша по договору ОПС?,d_48b105390f,"Да. В этом документе фонд ссылался на судебные акты по недействительному договору ОПС и фактически включал в убытки переданные пенсионные накопления, судебные расходы и вознаграждение консультанта. Однако сам по себе такой расчет не обеспечил удовлетворение иска: суд далее проверял причинную связь, вину консультанта и доказанность передачи ему спорного комплекта ОПС.","ния суда передать в АО «Ханты-Мансийский негосударственный пенсионный фонд» средства пенсионных накоплений ФИО2 в размере и порядке, установленных п.5.3 ст.36.6 Федерального закона от ДД.ММ.ГГГГ N 75-ФЗ «О негосударственных пенсионных фондах». В пользу ФИО2 с АО «НПФ «БУДУЩЕЕ» взысканы расходы по госпошлине. В пользу ООО «Центр Независимых Экспертиз – Вектор» с АО «НПФ «БУДУЩЕЕ» взыскана стоимость судебной экспертизы в размере 35 000 рублей. В удовлетворении иска о взыскании процентов за пользование чужими денежными средствами – отказано. Определением Мещанского районного суда <адрес> от ДД.ММ.ГГГГ в пользу ФИО2 с АО «НПФ «БУДУЩЕЕ» взысканы расходы на оплату юридических услуг в размере 15 000 рублей и расходы по оплате услуг нотариуса – 1700 рублей. На основании указанных судебных актов, Истцом фактически было выплачено 157 830,47 рублей (84154 рублей – средства пенсионных накоплений + 52 000 рублей – судебные расходы + 21675,93 рубля – вознаграждение). Решение о признании сделки недействительной принято судом на основании заключения судебной экспертизы, согласно которой, подпись в копии договора об обязательном пенсионном страховании от ДД.ММ.ГГГГ , заключенного между ФИО2 и АО «НПФ «БУДУЩЕЕ» выполнена не ФИО2 , а иным лицом. Таким образом, истец, фактически просит суд взыскать с ФИО1 денежные средства взысканные решением суда как убытки, причиненные противоправными и недобросовестными действиями консультанта ФИО1 . Средства пенсионных накоплений для финансирования накопительной пенсии подлежат передаче из одного фонда в другой фонд или в Пенсионный фонд Российской Федерации в случае прекращения договора об обязательном пенсионном страховании в соответствии с абзацем 7 пункта 2 статьи 36.5 настоящего Федерального закона - предыдущему страховщику (абзац 7 пункта 1 статьи 36.6 Федерального закона ""О негосударственных пенсионных фондах""). Согласно абзаца 7 пункта 2 статьи 36.5 Федерального закона ""О негосударственных пенсионных фондах"" договор об об",33411,35392,неосновательное обогащение / сопутствующие требования
q_22e4824ad6,Можно ли изменить вид выплаты после поступления уточненной информации от СФР?,d_998d99a4b7,"Да. Документ показывает сценарий, когда после получения новых сведений о размере страховой пенсии фонд заново рассчитал соотношение, отменил ранее назначенную накопительную пенсию и произвел единовременную выплату с зачетом уже выплаченных ежемесячных сумм.","№ 360-ФЗ «О порядке финансирования выплат за счет средств пенсионных накоплений» суд первой инстанции пришел к выводу об отказе в удовлетворении заявленных требований ФИО в полном объеме, исходя из того, что ответчик при принятии решения о назначении накопительной пенсии ФИО действовал в соответствии с требованиями законодательства и произвел расчет в соответствии со сведениями, предоставленными Пенсионным (Социальным) фондом РФ по системе межведомственного электронного взаимодействия, формулой, приведенной в пункте б ст. 2 (1) Постановления Правительства РФ от 21.12.2009 № 1048.
Исходя из того, что в адрес ответчика от Фонда пенсионного и Социального страхования Российской Федерации поступила информация о новом размере страховой пенсии истца, на основании данных сведений, фондом ответчиком АО «НПФ «БУДУЩЕЕ» был произведен расчет процентного соотношения размера накопительной пенсии к сумме размера пенсии по старости, согласно которому размер накопительной пенсии по отношению к размеру пенсии по старости (включая страховую и накопительную части) составил менее 5%, ответчик 19.03.2024 года отменил ранее назначенную накопительную пенсию и произвел единовременную выплату 28.03.2024 года с зачетом ранее произведенных ежемесячных платежей, о чем представил платежные документы в заседании судебной коллегии (приобщены к материалам дела).
С учетом изложенного, судебная коллегия соглашается с приведенными выводами суда первой инстанции, так как они основаны на надлежащей оценке доказательств по делу, сделаны в соответствии с нормами материального пра",4637,6203,назначение и выплата пенсионных накоплений
q_2397165baf,Когда ПФР в споре с НПФ оказывается лишним ответчиком и как это отражается на расходах?,d_a3ea97ebfc,"В документе суд указал, что ПФР не является стороной оспариваемого договора и не нарушал права истца, поэтому требования к нему не подлежат удовлетворению. При частичном удовлетворении иска расходы распределены по ст. 98 ГПК РФ: взысканы подтвержденные госпошлина и почтовые расходы, необходимые для принятия иска и рассмотрения дела.","ерсональных данных ФИО незаконными удовлетворению не подлежат.
Также подлежат оставлению без удовлетворения требования истца об обязании АО «НПФ «БУДУЩЕЕ» прекратить обработку страхового номера индивидуального лицевого счета ФИО, поскольку данные требования противоречат остальным заявленным требованиям и, в случае их удовлетворения, не позволят исполнить решение суда о признании Договора недействительным, поскольку для этого ответчику необходимо произвести ряд действий по обработке персональных данных истца, в том числе страхового номера индивидуального лицевого счета истца.
Учитывая, что Пенсионный фонд Российской Федерации стороной оспариваемого Договора не является, прав и законных интересов истца не нарушал, суд полагает, что данный ответчик не является субъектом возникших правоотношений, а потому исковые требования, заявленные к Пенсионному фонду Российской Федерации, удовлетворению не подлежат.
В соответствии со статьей 98 ГПК РФ стороне, в пользу которой состоялось решение суда, суд присуждает возместить с другой стороны все понесенные по делу судебные расходы, за исключением случаев, предусмотренных частью второй статьи 96 ГПК РФ. В случае, если иск удовлетворен частично, указанные в настоящей статье судебные расходы присуждаются истцу пропорционально размеру удовлетворенных судом исковых требований, а ответчику пропорционально той части исковых требований, в которой истцу отказано.
В ходе рассмотрения дела истец понес судебные расходы по оплате государственной пошлины в размере ….. руб., почтовые расходы в размере ….. руб., которые суд полагает возможным взыскать с ответчика, поскольку данные расходы были необходимы для принятия иска к производству суда и разрешения дела по существу, непосредственно относятся к делу и подтверждены документально.
На основании изложенного и руководствуясь ст.ст. 194-198 ГПК РФ, суд
Исковые требования – удовлетворить частично.
Признать недействительным д",27851,29777,судебные расходы
q_23b3347002,Как фонд может объяснять требование вернуть переплату для восстановления резерва ОПС?,d_d58bcac2e4,"После появления другого правопреемника выплата подлежала перераспределению в равных долях, а фонд считал необходимым восстановить баланс резерва ОПС, из которого была произведена выплата. Фонд направил претензию о возврате излишне выплаченной суммы и заявлял требование о неосновательном обогащении на счет резерва.","бращением в Фонд других правопреемников за выплатой средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии умершего застрахованного лица А. сумма средств пенсионных накоплений подлежала перераспределению между всеми обратившимися правопреемниками в равных долях. На основании решения Фонда от ДД.ММ.ГГГГ № -РВР-000394 К. (сыну умершего застрахованного лица) была осуществлена выплата за счет средств резерва Фонда по обязательному пенсионному страхованию в соответствии с распределением причитающейся ему доли 50 % в размере 164508,71 руб., что подтверждается платежным поручением от ДД.ММ.ГГГГ № . Таким образом, Фонд обязан восстановить баланс средств резерва, из которого произведена выплата правопреемнику причитающейся ему доли средств пенсионных накоплений умершего застрахованного лица. Полагая, что ответчиком неосновательно удерживаются излишне выплаченные денежные средства, превышающие размер полагающейся ему по закону доли 50 %, ввиду ее перерасчета исходя из количества обратившихся за выплатой лиц, Фонд направил 19 января 2024 г. в адрес ответчика заказным письмом с уведомлением претензию от 19 января 2024 г., в которой обозначена необходимость вернуть в Фонд излишне выплаченную ответчику сумму в размере 164508,72 руб. в течение 21 календарного дня с момента получения претензии. Денежные средства до настоящего времени ответчиком в Фонд не возвращены. АО «НПФ «Будущее» просило суд взыскать с ФИО сумму неосновательного обогащения в размере 164508,72 руб. на счет резерва обязательного пенсионного страхования; сумму процентов за пользование чужими денежными средствами на счет собственных средств Фонда по состоянию на 22 апреля 2024 г. в размере 3523,9 руб.; за период с 23 апреля 2024 г. по день вынесения судом решения, исчисленные исходя из размера ключевой ставки, установленной Банком России; за период со дня, следующего за днем вынесения судом решения по день фактичес",3566,5490,неосновательное обогащение / сопутствующие требования
q_23e6b85df7,"Подбери дело о квалификации договора ОПС как ничтожной сделки, когда его подписало неустановленное лицо.",d_08a83ffb98,"Дело, где договор, подписанный неустановленным лицом, квалифицирован как ничтожная сделка, и подтверждено: требование о признании ничтожной сделки недействительной можно заявлять независимо от требования о применении последствий. Полезно для построения просительной части иска.","Требование о признании недействительной ничтожной сделки независимо от применения последствий ее недействительности может быть удовлетворено, если лицо, предъявляющее такое требование, имеет охраняемый законом интерес в признании этой сделки недействительной (пункт 3). Договор, заключенный неустановленным лицом, не отвечает требованиям закона, поэтому является ничтожным согласно статье 168 Гражданского кодекса Российской Федерации независимо от признания его таковым судом.",3698,4175,переход в НПФ / недействительность волеизъявления
